N ,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실 
100,현대차우,"118,000","4,500",-3.67%,"5,000","28,741","24,357",56.32,"301,306",28.20,N/A,
101,포스코인터내셔널,"23,150","1,100",+4.99%,"5,000","28,561","123,375",10.19,"7,277,177",12.77,7.06,
102,BGF리테일,"163,000",500,+0.31%,"1,000","28,173","17,284",32.57,"43,719",21.53,26.46,
103,대우조선해양,"26,050",100,+0.39%,"5,000","27,949","107,291",9.28,"182,159",16.03,-1.22,
104,GS리테일,"35,950","1,200",+3.45%,"1,000","27,682","77,000",14.67,"630,183",16.39,6.25,
105,DB손해보험,"38,650",600,+1.58%,500,"27,364","70,800",40.53,"189,464",4.92,6.92,
106,휠라홀딩스,"43,700",450,+1.04%,"1,000","26,549","60,752",48.19,"438,448",14.73,23.81,
107,DB하이텍,"59,700","1,100",-1.81%,"5,000","26,506","44,399",22.86,"875,850",16.11,17.40,
108,현대오토에버,"122,000","4,500",-3.56%,500,"25,620","21,000",0.96,"126,515",44.57,11.71,
109,메리츠증권,"3,790",65,+1.74%,"1,000","25,619","675,962",13.45,"3,574,618",4.74,15.06,
110,한솔케미칼,"226,000","8,500",+3.91%,"5,000","25,618","11,335",40.55,"136,645",21.75,20.88,
111,피비파마,"42,600","9,800",+29.88%,0,"25,601","60,096",4.39,"22,795,250",N/A,N/A,
112,삼성엔지니어링,"13,000",350,+2.77%,"5,000","25,480","196,000",24.22,"1,547,555",9.98,24.62,
113,대우건설,"6,100",100,-1.61%,"5,000","25,353","415,623",8.09,"3,824,762",13.17,8.80,
114,한샘,"107,500","5,000",+4.88%,"1,000","25,299","23,534",23.08,"318,305",37.75,7.32,
115,대웅,"43,500","2,350",-5.13%,500,"25,292","58,142",5.06,"486,222",50.12,10.43,
116,OCI,"106,000","3,500",+3.41%,"5,000","25,280","23,849",19.88,"329,379",-3.42,-26.20,
117,한화,"33,650",450,-1.32%,"5,000","25,224","74,959",19.69,"368,464",13.71,2.09,
118,팬오션,"4,660",90,+1.97%,"1,000","24,911","534,570",11.34,"2,157,198",18.42,5.49,
119,하이트진로,"35,100",700,+2.03%,"5,000","24,617","70,134",8.38,"1,007,941",33.18,-3.86,
120,한화생명,"2,830",5,+0.18%,"5,000","24,579","868,530",7.29,"4,214,047",10.76,0.51,
121,신세계,"245,000","7,000",+2.94%,"5,000","24,121","9,845",24.22,"156,775",-7.87,14.24,
122,현대위아,"86,600","11,700",-11.90%,"5,000","23,551","27,195",10.13,"1,481,486",18.71,1.80,
123,DL이앤씨,"120,500",500,+0.42%,"5,000","23,327","19,359",26.77,"333,899",N/A,N/A,
124,제일기획,"20,100",100,+0.50%,200,"23,123","115,041",32.89,"338,154",17.03,15.09,
125,LS,"70,000",300,+0.43%,"5,000","22,540","32,200",14.54,"142,809",-972.22,0.80,
126,현대로템,"20,400",500,-2.39%,"5,000","22,265","109,142",4.73,"1,754,755",-11.58,-37.93,
127,KODEX 200선물인버스2X,"2,110",40,+1.93%,0,"21,585","1,023,000",0.93,"562,947,454",N/A,N/A,
128,한화에어로스페이스,"42,400","1,150",-2.64%,"5,000","21,467","50,630",17.94,"598,521",29.73,5.45,
129,오뚜기,"573,000","4,000",+0.70%,"5,000","21,040","3,672",16.47,"4,213",19.36,7.79,
